id,doi,display_name,publication_date,is_retracted,is_paratext,abstract,concepts
W2090259715,https://doi.org/10.7250/mstct.2014.009,Technical Embroidery for Smart Textiles: Review,2015-03-28,False,False,"Traditionally embroidery is known as a conventional technique of textile decoration. Since the niche of technical textiles is rapidly expanding and is the main field of innovation and research in textile and apparel industry, embroidery is found in a variety of new functional applications due to the unique opportunity of creating three-dimensional light-weight structures and laying threads on the base material in all directions. As the field of smart textiles is vast per se and is associated with technical textiles and wearable technologies, the main applications of the embroidery may be described accordingly as ones for technical applications. In the sphere of medical textiles, embroidery is a relatively new technique, but is successfully used for wound-dressing development and innovative solutions for tissue engineering due to the opportunity of creating three-dimensional structures from fine polymer materials. Another advantageous characteristic of goods developed by embroidery is dimensional stability of manufactured textile structures. Due to these particularities embroidery is used widely also for such technical applications as development of heating grids, shielding, conductive interconnections, intelligent textile sensors and interfaces etc. Moreover, a large variety of materials and threads can be used in prototyping by the technique, e.g., conductive threads, metal wires, laminated polymer and carbon fibers. One of the challenging sub-sectors of intelligent textiles and smart textiles for healthcare applications is the research and development of textile sensors for biometrics and measurement of physical parameters. Most of the mentioned biosensors are implemented by transferring the principles of conventional actuators to the textile structures.","[('Architectural engineering', 1, '0.40715984'), ('Computer science', 0, '0.332292'), ('Engineering', 0, '0.32608134')]"
W2002263717,https://doi.org/10.7250/mstct.2014.005,Knitted Resistive Fabric: Properties and Applications,2015-03-28,False,False,"The presented paper relates to the field of “smart textiles”. A new type of knitted strain sensing elements (knitted resistive fabric (KRF)) which can be integrated in the smart garment was developed. KRF was produced from conductive resistive, nonconductive isolating and nonconductive elastomeric yarns. Elastomeric yarn was used as the base yarn and was knitted within the whole fabric, but isolating and resistive yarns (functional yarns) were used as face yarns and knitted in specific sequence. Electrical model of KRF is proposed to describe the behavior of sensing element. The developed KRF has high sensitivity to strain deformation and can be used as local strain sensor or distributed resistive sensing field to control deformation of human body parts, joint motion, respiration etc.","[('Resistive touchscreen', 2, '0.71209455'), ('Materials science', 0, '0.4672437'), ('Composite material', 1, '0.41811723'), ('Computer science', 0, '0.34688044'), ('Computer vision', 1, '0.13918218')]"
W2030444962,https://doi.org/10.7250/mstct.2013.016,Comparative Analysis of Fiber Structure and Cellulose Contents in Flax and Hemp Fibres,2013-01-01,False,False,"In recent decades, the demand for flax and hemp fibers and annually renewable and biodegradable sources of raw materials is increasing rapidly due to new applications of innovative materials. Cellulose is most valuable component of bast fibres with a wide application range. Relative content of crystalline cellulose influences mechanical properties of fibres. Content and structural composition of lignin determines how severe technologies could be applied to separate crystalline cellulose from matrix. The paper examines the flax and hemp fiber structure and chemical composition of the total comparative analysis, as well as determined and compared crystalline and amorphous cellulose composition of several Latvian and grown in Poland fiber flax and hemp fibers varieties. Both flax and hemp biological, physical, chemical and mechanical properties depend on various factors and their interactions: a variety of places of production and pre-culture, climate and agricultural complexes are harvested and selected initial treatment (fiber) type and parameters which creates problems for fiber with similar characteristics. Flax and hemp straw structure, layout and design of the filament are very similar. The fiber mechanical properties are directly dependent on the cellulose content of the fibers, the degree of polymerization, mikrofibrillic angle, initial treatment type and parameters. The total crystalline cellulose constituents of flax fibres are found varying in the range from 64.57 to 75.38 %, whiles in hemp fibers varying in range from 64.2 % to 70.5 %. In addition, the fiber contains hemicellulose (12.97 to 26.07 % flax, hemp, 16.99 to 23.79 %), lignin (4.78 to 7.44 % flax , hemp, 5.68 to 7.96 %) pectin (0.45 to 3.23 % flax, hemp, 1.37 to 1.64 %), fats and waxes (0.83 to 1.9 % flax, hemp, 0.52 to 0.73 %). These data show the same chemical structure diversity within one biological culture and similarities between the two different cultures.","[('Bast fibre', 2, '0.8767708'), ('Hemicellulose', 3, '0.83401436'), ('Cellulose', 2, '0.833935'), ('Lignin', 2, '0.77396035'), ('Fiber', 2, '0.68594533'), ('Materials science', 0, '0.6635961'), ('Composite material', 1, '0.6007052'), ('Cellulose fiber', 3, '0.57204026'), ('Raw material', 2, '0.52245057'), ('Straw', 2, '0.5117669'), ('Synthetic fiber', 3, '0.46313432'), ('Chemical composition', 2, '0.4612014'), ('Pulp and paper industry', 1, '0.37995946'), ('Chemistry', 0, '0.20243472'), ('Organic chemistry', 1, '0.1354757'), ('Inorganic chemistry', 1, '0.0'), ('Engineering', 0, '0.0')]"
W2065109607,https://doi.org/10.7250/mstct.2014.010,Smart Protective Clothing for Law Enforcement Personnel,2015-03-28,False,False,"Smart protective clothing is a promising niche for innovative products with great potentials on the textile and apparel market. Generally, smart textiles are defined as textile products with integrated, additional functions. These functions provide solutions for a wide variety of applications such as healthcare, sports, protective clothing and the automotive industry. Smart protective clothing offers many possibilities to increase the safety of operations and reduce casualties. However, the integration of smart functions into protective clothing provides many challenges. The functions need to be fully integrated into the protective clothing, so that they do not result in a weakening of the armour. The main goal of the European research project SmartPro is the development of lightweight and flexible protective clothing for security personnel with integrated smart functionalities. These include heart rate sensors, a damage control system and a geolocalisation module as well as wireless data transfer by means of textile antennas.","[('Clothing', 2, '0.7923458'), ('Law enforcement', 2, '0.7731924'), ('Business', 0, '0.5316962'), ('Computer security', 1, '0.52538496'), ('Law', 1, '0.46251217'), ('Internet privacy', 1, '0.37424248'), ('Political science', 0, '0.23126039'), ('Computer science', 0, '0.18587232')]"
W2081953745,https://doi.org/10.7250/mstct.2013.010,Woven Light Emitting Display,2014-02-06,False,False,"Electrotextiles represent a huge potential in creating a new generation of flexible textile platforms for electronic systems and smart garments. In this research of electrotextile fabrication weaving method was used. Fully or partly replacing traditional (non-conductive) textile yarns with conductive textile yarns, it is possible to get woven conductive textile material or fabric circuit. In the paper weaving method is considered for electro textile design and process of flexible textile light-emitting display fabrication is described. Fabric with interwoven conductive yarns to which light-emitting diodes (LEDs) were attached was designed. This technology is not only limited to light illuminated displays but can also be used to build other smart textile constructions like sensors, conductive textile traces etc.","[('Weaving', 2, '0.95729697'), ('Textile', 2, '0.89355695'), ('Electrical conductor', 2, '0.6964761'), ('Fabrication', 3, '0.6435551'), ('Clothing', 2, '0.57844305'), ('Woven fabric', 2, '0.5692672'), ('Light-emitting diode', 2, '0.51274097'), ('Materials science', 0, '0.4959546'), ('Yarn', 2, '0.4820991'), ('Flexible display', 4, '0.47160774'), ('Nanotechnology', 1, '0.2169883'), ('Optoelectronics', 1, '0.20891985'), ('Composite material', 1, '0.17502621'), ('Thin-film transistor', 3, '0.060405165'), ('Medicine', 0, '0.0'), ('Alternative medicine', 2, '0.0'), ('Archaeology', 1, '0.0'), ('Pathology', 1, '0.0'), ('Layer (electronics)', 2, '0.0'), ('History', 0, '0.0')]"
W2082951365,https://doi.org/10.7250/mstct.2013.004,Composition Principles of Zemgale National Costume Bronze Sheet Metal Crowns,2014-02-06,False,False,"The study looked at 48 Zemgale’ s bronze sheet metal crowns from museums and literature sources analyzing the article bar composition and signs. The characteristically crown bar composition is situated horizontally or vertically on the edge of the crown. The central bar and border combinations can be classified in 12 types; the most popular bar layout is a single-band composition, followed by the central sign bar with identical borders, located at the top and the bottom of the crown. Depending on the number of lanes 6 types of crown composition can be classified. The central article bar is found to have 7 types of zig-zag lines. It was recognized that according to the simmetry classes 33 signs correspond to the Cn class and 57 to the Dm class. It was possible to detect a bar ornament class only in 56% of crowns. The research obtained 100 different signs that were classified in 6 groups, based on the number and type of the key element, geometric forms and the degree of complexity. Groups were organized by a corresponding index. Zemgale bronze sheet crowns have simple, compound and combined signs. After semantic matter signs can be classified in 12 groups.","[('Bar (unit)', 2, '0.58582'), ('Crown (dentistry)', 2, '0.56222695'), ('Composition (language)', 2, '0.496039'), ('Bronze', 2, '0.48464543'), ('Sign (mathematics)', 2, '0.43176857'), ('Bronze Age', 2, '0.4163813'), ('Materials science', 0, '0.33674586'), ('Geology', 0, '0.31723332'), ('Mathematics', 0, '0.28063256'), ('Metallurgy', 1, '0.270921'), ('Art', 0, '0.25189742'), ('Geography', 0, '0.24027812'), ('Composite material', 1, '0.22029415'), ('Archaeology', 1, '0.21944371'), ('Literature', 1, '0.10931787'), ('Mathematical analysis', 1, '0.0'), ('Oceanography', 1, '0.0')]"
W2332723905,https://doi.org/10.7250/mstct.2015.010,Energy Generating Outerwear,2015-12-30,False,False,"This study investigates whether energy harvesting systems can be integrated or placed in/on clothing. The first part of the study includes general information about smart clothing that is already made with integrated energy systems and different types of energy sources to operate energy harvesting systems. During this study a male jacket prototype with an integrated planar structure electrodynamic converter was made. Experiments were done to verify the harvesting system according to system location, components (it was decided to experiment with 2 and 3 coil connections in series) and textile layer thickness. It was concluded that many factors affect the trajectory of permanent magnets and the amount of generated energy.","[('Clothing', 2, '0.63691497'), ('Energy (signal processing)', 2, '0.61148775'), ('Textile', 2, '0.5103075'), ('Energy harvesting', 3, '0.45069462'), ('Mechanical engineering', 1, '0.43048495'), ('Computer science', 0, '0.42138183'), ('Electromagnetic coil', 2, '0.41963077'), ('Engineering', 0, '0.4041953'), ('Automotive engineering', 1, '0.38735354'), ('Electrical engineering', 1, '0.3483286'), ('Physics', 0, '0.13379908'), ('Materials science', 0, '0.12683088'), ('Archaeology', 1, '0.0'), ('Quantum mechanics', 1, '0.0'), ('Composite material', 1, '0.0'), ('History', 0, '0.0')]"
W1968848802,https://doi.org/10.7250/mstct.2014.003,Effect of Fiber Surface Morphology on Water Sorption of Pre-treated Hemp Fiber Reinforced LLDPE Composites,2015-03-28,False,False,"The chemical fiber pre-processing methods have been investigated, their influence on water absorption of linear low density polyethylene composites and fiber surface were evaluated by atomic force microscopy and water exposure experiments. All used fiber pre-processing methods decrease water sorption of composite. Untreated fiber composite with undamaged fiber surface more rapidly absorbs water.","[('Composite material', 1, '0.79806924'), ('Linear low-density polyethylene', 3, '0.74316293'), ('Fiber', 2, '0.74299264'), ('Materials science', 0, '0.7368633'), ('Composite number', 2, '0.7161443'), ('Sorption', 3, '0.66158175'), ('Absorption of water', 2, '0.61335844'), ('Polyethylene', 2, '0.5452155'), ('Morphology (biology)', 2, '0.53672105'), ('Adsorption', 2, '0.13705862'), ('Chemistry', 0, '0.119074196'), ('Organic chemistry', 1, '0.0'), ('Biology', 0, '0.0'), ('Genetics', 1, '0.0')]"
W1975573138,https://doi.org/10.7250/mstct.2013.001,The Colour Characteristics of Wool Dyed with Plants of Latvia,2014-02-06,False,False,"Dyeing with natural dyes from plant and other organic sources is known since the prehistoric times. In Latvia, natural dyes have been used for the colouring of natural fibres, such as flax, wool, cotton, silk and leather. Plants for the dyeing were collected in autumn in Latvia, used fresh or dried. Mordant ferrous sulphate, copper sulphate pentahydrate, potassium hydroxide, potassium dichromate and acetic acid were used before, during and after dyeing. The quality of dyeing was evaluated using the RGB system.","[('Dyeing', 2, '0.95511544'), ('Mordant', 3, '0.9417317'), ('Wool', 2, '0.89629066'), ('Potassium hydroxide', 2, '0.61068976'), ('Natural dye', 3, '0.60852385'), ('Pulp and paper industry', 1, '0.5989636'), ('Potassium dichromate', 2, '0.5231106'), ('Chemistry', 0, '0.4537341'), ('Nuclear chemistry', 1, '0.32094705'), ('Materials science', 0, '0.2901063'), ('Organic chemistry', 1, '0.11638668'), ('Composite material', 1, '0.108831674'), ('Engineering', 0, '0.06562856')]"
W2020128724,https://doi.org/10.7250/mstct.2013.013,Wearable PPG Sensor Matrix for Cardiovascular Assessment,2013-01-01,False,False,"Wearable biomonitoring systems and smart textiles for healthcare are gaining more importance and significance in the R&amp;D sphere due to their potentials in healthcare and sports. Such biomonitoring systems offer a number of advantages in comparison to the conventional equipment proving mobility of the wearer during a long-term monitoring of vital parameters. There are different options to set up the physiological monitoring using wireless and wearable technologies. One of the scenarios is addressing textiles as a carrier of electronics. Moreover, those differ by their functional applications, registered physiological parameters and technology solutions. Still, the most demanded biomonitoring smart systems focus on the examination of cardiovascular conditions due to the urgency of the problem in the public health. Furthermore, cardiovascular and haemodynamic parameters are initial physiologic criteria in sports physiology and in individual training. The common method for cardiovascular assessment is registration of heart electric potentials. Nevertheless, this research addresses photoplethmography (PPG) as an optional approach to acquire the information on cardiovascular and hemodynamic activity. The aim of the study is to develop a textile integrated optical sensor matrix for telemetric cardiovascular assessment. Two reflectance sensors with single and multiple photodiodes (PDs) based on a novel signal conversion were designed and adopted to textiles. Designed prototypes were evaluated for their technical parameters and biomonitoring performance in rest conditions. The acquired physiological data was analyzed by the custom developed software and compared to the reference data obtained by the medical ECG monitor. Overall, the textile adopted wearable systems with both types of PPG sensors have demonstrated high signal accuracy and potentials for wearable applications.","[('Wearable computer', 2, '0.77961886'), ('Biomonitoring', 2, '0.6827351'), ('Computer science', 0, '0.63707423'), ('Wearable technology', 3, '0.5993821'), ('Continuous monitoring', 2, '0.5442936'), ('Wireless', 2, '0.46787712'), ('Cardiovascular health', 3, '0.45654157'), ('Health care', 2, '0.4249162'), ('Human–computer interaction', 1, '0.36337352'), ('Embedded system', 1, '0.29701537'), ('Medicine', 0, '0.23146883'), ('Telecommunications', 1, '0.22734535'), ('Engineering', 0, '0.20873097'), ('Pathology', 1, '0.108747154'), ('Chemistry', 0, '0.0'), ('Operations management', 1, '0.0'), ('Disease', 2, '0.0'), ('Organic chemistry', 1, '0.0'), ('Economics', 0, '0.0'), ('Economic growth', 1, '0.0')]"
W2064907175,https://doi.org/10.7250/mstct.2014.004,Hemp Made Bio-Composites,2015-03-28,False,False,"Hemp cultivation is one of the possibilities to use agricultural land of Latvia. Mechanical and physical properties of hemp fiber and its chemical structure is suitable for using as a reinforcement, but polypropilene (PP) fibers and PolyLactic Acid (PLA) fibers as a matrix for bio-composites. Compression molding is the most common composite processing technology. Composites with the content of 20 % – 40% of natural fiber could provide optimal mechanical properties. The demand for bio-composites with improved properties will be increasing in the future. Sandwich structure of bio-composite is one of the ways to protect natural fiber from heating degradation.","[('Polylactic acid', 3, '0.7764396'), ('Composite material', 1, '0.77379996'), ('Composite number', 2, '0.65683603'), ('Materials science', 0, '0.65136373'), ('Compression molding', 3, '0.63983536'), ('Natural fiber', 3, '0.61758626'), ('Fiber', 2, '0.58226347'), ('Molding (decorative)', 2, '0.48615643'), ('Polymer', 2, '0.21136498'), ('Mold', 2, '0.06854066')]"
W2078638220,https://doi.org/10.7250/mstct.2013.003,Vascular Implants Reinforced with Natural Silk Yarns,2014-02-06,False,False,"In the course of this research work woven synthetic prosthesis reinforced with natural silk yarns was designed and manufactured. Biomechanical properties of surgical natural silk were studied during designing of the structure of the walls of the prosthesis. The experiment gave good data of elasticity and strain properties in a process of laboratory testing of samples of natural fibers. The previous practical experience was also used, for example, various vascular prostheses made from polyurethane complex yarns and polyester monofilaments. As a result, the authors of the scientific work proposed a combined wall structure of vascular prosthesis, consisting of polyester, polyurethane, and natural silk surgical yarns. After the implantation of the synthetic prosthesis reinforced with natural silk yarns, these natural silk yarns completely dissolve in the body for several years. Living tissue is gradually growing into the walls of synthetic prosthesis, replacing dissolved natural silk yarns. Experimental tests confirmed that a modulus of elasticity of innovative prosthesis is close to modulus of elasticity of natural blood vessels. The innovative structure of blood vessel prosthesis combined with such parameters can provide a long-term normal hemodynamics.","[('SILK', 2, '0.7747301'), ('Prosthesis', 2, '0.71848136'), ('Materials science', 0, '0.7045468'), ('Polyurethane', 2, '0.6819574'), ('Polyester', 2, '0.67122245'), ('Composite material', 1, '0.60267216'), ('Elasticity (physics)', 2, '0.5060753'), (""Young's modulus"", 2, '0.44445267'), ('Modulus', 2, '0.4349736'), ('Biomedical engineering', 1, '0.3645723'), ('Surgery', 1, '0.1351896'), ('Engineering', 0, '0.12236214'), ('Medicine', 0, '0.08105299')]"
W2081953803,https://doi.org/10.7250/mstct.2013.009,The Electrical Properties of Bast Fibre Fabrics Change after Nanoparticles of Metals and their Oxides are Applied,2014-02-06,False,False,"In the paper changes of electrical properties of bast fibre fabrics after deposition of metals and metal oxide nanoparticles have been investigated. Moisture content of samples after storing them in different climatic conditions was determined using the thermogravimetry method. Electrical resistance changes depending on moisture content were investigated using impedance spectorscopy. The analysis of measurements shows that samples with surface treated in plasma attract water better than samples with untreated surface. In turn metal coatings reduce water sorption. The research shows that coatings decrease electrical resistance of samples. Samples stored in normal climatic conditions can be characterized with capacitive/reactive resistance, ie. they have expressed dielectric properties but moist samples in lowfrequency range have ohmic/active resistance, ie. they have expressed electric conductivity properties that turn into dielectric properties in high-frequency range. It can be concluded that electric resistance of bast fibre fabrics is influenced by moisture content in sample and coating material.","[('Materials science', 0, '0.8426398'), ('Bast fibre', 2, '0.7879392'), ('Composite material', 1, '0.6663159'), ('Electrical resistivity and conductivity', 2, '0.6530668'), ('Dielectric', 2, '0.6260835'), ('Water content', 2, '0.61629575'), ('Electrical resistance and conductance', 2, '0.61378783'), ('Moisture', 2, '0.5612183'), ('Coating', 2, '0.48205528'), ('Geotechnical engineering', 1, '0.0'), ('Optoelectronics', 1, '0.0'), ('Electrical engineering', 1, '0.0'), ('Engineering', 0, '0.0')]"
W2270468844,https://doi.org/10.7250/mstct.2014.006,Latvijas Valsts ienemumu dienesta darbinieku apgerba pasvertejums aptauja,2015-03-28,False,False,"Pētījumā atspoguļoti Latvijas Valsts ieņēmumu dienesta darbinieku aptaujas rezultāti, lai noskaidrotu ierēdņu pasreizējo apmierinātības līmeni ar darba formastērpu, tā struktūru un apzinātu lietotāju subjektīvās, komfortu aprakstosās pozitīvās un negatīvās sajūtas, kas rodas, valkājot konkrēto apģērbu noteiktos apstākļos. Veikts ierēdņu formastērpa sastāvdaļu novērtējums un noteikti tā būtiskākie raksturojosie rādītāji. Apkopoti ieteikumi, kas jāievēro, projektējot jaunas uniformas, lai uzlabotu ierēdņu komforta līmeni funkcionālajā apģērbā.","[('Physics', 0, '0.3747346'), ('Humanities', 1, '0.3254747'), ('Theology', 1, '0.32429203'), ('Philosophy', 0, '0.25216475')]"
W2604437435,https://doi.org/10.7250/mstct.2016.001,Short Natural Fibers Reinforced Polyolefin Composites,2016-12-30,False,False,"This article summarizes modification techniques of the most popular polyolefin composite reinforced with short natural fibers based on two interface modification strategies: filler modification and matrix modification by additives. According to analysis of published papers, it can be concluded that the fiber pretreatment does not result in higher improvement of the properties compared with adding coupling agent in the compounding process.","[('Polyolefin', 3, '0.97441953'), ('Composite material', 1, '0.80131567'), ('Materials science', 0, '0.67870164'), ('Natural fiber', 3, '0.46469802'), ('Fiber', 2, '0.2404482'), ('Layer (electronics)', 2, '0.0')]"
