,id,doi,display_name,publication_date,abstract,concepts,source_id,elements
58003,W165890859,https://doi.org/10.1016/j.commatsci.2011.03.011,Properties of KNTN [100] surfaces: A first-principles study,2011-06-01,"Properties of KNTN 100 surfaces: A first-principles study. The properties of potassium natrium tantalite niobate KNTN surfaces are discussed, A-site substitution with potassium tantalite niobate KTN and the use of Na cations to replace K ones. After geometrical structure optimization, band structure and density of states DOS are analyzed for KNTN 1 0 0 surface. Furthermore, we evaluate the optical and physical properties of KNTN surfaces using first-principles calculations such as dielectric function, refractive index, and energy-loss function and compare the results with KNTN bulk and KTN surfaces; there are some similar and different properties with these materials.","[('Potassium niobate', 4, '0.7937476'), ('Refractive index', 2, '0.7033531'), ('Dielectric function', 3, '0.58900964'), ('Dielectric', 2, '0.5888395'), ('Materials science', 0, '0.58874506'), ('Lithium niobate', 2, '0.56098884'), ('Electronic band structure', 2, '0.45053974'), ('Density functional theory', 2, '0.44470417'), ('Optics', 1, '0.4184667'), ('Mineralogy', 1, '0.40391582'), ('Condensed matter physics', 1, '0.38101444'), ('Optoelectronics', 1, '0.25814277'), ('Chemistry', 0, '0.2506209'), ('Computational chemistry', 1, '0.21236649'), ('Ferroelectricity', 3, '0.15159395'), ('Physics', 0, '0.08477029')]",S26018076,Na
58240,W2885439474,https://doi.org/10.1016/j.commatsci.2018.07.060,Structural stability and electronic properties of the (0 0 0 1) inversion domain boundary in III-nitrides,2018-11-01,"Structural stability and electronic properties of the 0 0 0 1 inversion domain boundary in III-nitrides. A structural investigation of 0001 plane inversion domain boundariesin group III-nitrides GaN, AlN and InN has been carried out by means of Monte Carlo MC simulation of Stillinger-Weber empirical potential. Eight possible IDB configurations were found to be stable during the structural searching process. Their energetics, chemical bonding properties as well as electronic structures were further investigated using first-principle calculations based on density functional theory DFT. The comparison of relative energetic stability revealed that the H4 configuration is the most stable structure among HHead-to-Head typeexcept in AlN; as for T Tail-to-Tail type T2 is more energetic favorable within all materials. The electron localization function ELF and the Bader population analysis clearly point out 2-dimensional hole gas 2DHG in Hand 2-dimensional electron gas 2DEG in T And this is ascribed to the polarization discontinuity. A detailed analysis of Projected Density of States PDOS shows a metallic character in all The hybridization states at the valance band edge crossed the Fermi level in H boundaries which acts as a p dopant. For T type the PDOS is largely extended in density with the Fermi level shifted up above the conduction band maximum CBM which suggests an electron excess in boundaries.","[('Nitride', 3, '0.57934207'), ('Materials science', 0, '0.44474187'), ('Stability (learning theory)', 2, '0.43882185'), ('Inversion (geology)', 3, '0.4320744'), ('Electronic structure', 2, '0.41908577'), ('Chemistry', 0, '0.32556745'), ('Geology', 0, '0.2479364'), ('Nanotechnology', 1, '0.2326774'), ('Computational chemistry', 1, '0.2190848'), ('Computer science', 0, '0.20632097'), ('Seismology', 1, '0.05893421'), ('Layer (electronics)', 2, '0.0'), ('Machine learning', 1, '0.0'), ('Tectonics', 2, '0.0')]",S26018076,"AlN,GaN,H,H4,InN"
202085,W2313503269,https://doi.org/10.2472/jsms.41.1616,Analysis of Deformation of Rubber Composites with Elliptic Heterogeneous Rubber.,1992-01-01,"Analysis of Deformation of Rubber Composites with Elliptic Heterogeneous Rubber.. The fundamental deformation behaviour of rubber composites, especially the nonuniform distributions of stress and strain in the material was studied. A plane model of rubber composites with elliptic heterogeneous rubber was employed. Namely, elliptic regions having different elastic constants were assumed to be present regularly in the matrix. Tensile deformation of the composites was analyzed numerically under the condition of the plane stress with the Mooney-Rivlin type strain energy function. The finite element method was used for the numerical simulation.It was shown that the deformation mode of the model was similar to that of constant strain as the shape of the elliptic region became slender in the tensile direction. The distributions of stress and strain in the elliptic region were nearly constant. The deformation mode of the composites was quantitatively described by introducing a scalar parameter called constraint ratio.","[('Natural rubber', 2, '0.730644'), ('Composite material', 1, '0.7176691'), ('Materials science', 0, '0.6898048'), ('Deformation (meteorology)', 2, '0.6193721'), ('Finite element method', 2, '0.49871278'), ('Ultimate tensile strength', 2, '0.4792804'), ('Stress (linguistics)', 2, '0.42779446'), ('Plane stress', 3, '0.4257099'), ('Structural engineering', 1, '0.21276635'), ('Linguistics', 1, '0.0'), ('Philosophy', 0, '0.0'), ('Engineering', 0, '0.0')]",S2764446333,
182462,W2392876774,,Crystallization Studies in Polypropylene/Carbon Nanotubes Composite,2007-01-01,"Crystallization Studies in Polypropylene/Carbon Nanotubes Composite.a filler,carbon nanotubesCNTs have a constant slenderness ratio in melting process.Somaybe have nucleation in PP/CNTs composite.We filledinto PP and got CNTs/PP composite.Using TEM,SEM,DSC,TGA to investigate the composite crystallization.The study reveals thatreally have nucleation in composite,and the crystal grain of PP containingbecomes thin.The thermal stability has a great increase,so does the character of fire retardant.","[('Materials science', 0, '0.9154192'), ('Nucleation', 2, '0.8756008'), ('Composite number', 2, '0.8222406'), ('Carbon nanotube', 2, '0.8028102'), ('Crystallization', 2, '0.7484325'), ('Polypropylene', 2, '0.72516286'), ('Composite material', 1, '0.7030355'), ('Thermal stability', 2, '0.5382054'), ('Fire retardant', 2, '0.44874874'), ('Chemical engineering', 1, '0.25874192'), ('Chemistry', 0, '0.0'), ('Organic chemistry', 1, '0.0'), ('Engineering', 0, '0.0')]",S2765077136,"CNTs,PP"
110344,W2365080320,,Determination of matrix micro-properties of tungsten alloy by inverse method and verification for its validity,2009-01-01,"Determination of matrix micro-properties of tungsten alloy by inverse method and verification for its validity. The microhardness and micro elastic modulus of matrix in tungsten alloy were respectively measured.The micro elastic-plastic properties of the matrix in tungsten alloy were obtained using the inverse method.According to the load-displacement relationships obtained from nano-indentation experiments,the parameters of micro yield strength and microhardening modulus of matrix in the tungsten alloy were given through three-dimensional finite element computations.Macro experiments were performed to verify the validity of this method.It is indicated that the inverse method is valid to determine the micro properties of matrix in tungsten alloy.","[('Materials science', 0, '0.89942986'), ('Tungsten', 2, '0.81974447'), ('Alloy', 2, '0.69168407'), ('Indentation hardness', 3, '0.6499647'), ('Modulus', 2, '0.58624595'), ('Matrix (chemical analysis)', 2, '0.53791976'), ('Indentation', 2, '0.53516984'), ('Elastic modulus', 2, '0.501374'), (""Young's modulus"", 2, '0.48642826'), ('Inverse', 2, '0.48607567'), ('Finite element method', 2, '0.48316664'), ('Composite material', 1, '0.4339892'), ('Metallurgy', 1, '0.26988992'), ('Structural engineering', 1, '0.23139584'), ('Microstructure', 2, '0.13470384'), ('Mathematics', 0, '0.0875684'), ('Geometry', 1, '0.08073476'), ('Engineering', 0, '0.0')]",S82336448,
120324,W2070410562,https://doi.org/10.1016/0921-5107(96)01594-2,Wet chemical separation of low-temperature GaAs layers from their GaAs substrates,1996-08-01,"Wet chemical separation of low-temperature GaAs layers from their GaAs substrates. We reported a method of the wet chemical separation for low-temperature LT GaAs epitaxial layers grown by molecular beam epitaxy from their substrates. Samples with AlAs as well as AlGaAs etch-stop interlayers were used in this study, but better properties have been found for the samples with AlAs. Very interesting dependence of etching rate of the citric acid based etchant on the sample growth temperature is reported. For illustration of usefulness of this method, the temperature dependencies of the resistivity and Hall mobility measured on four separated LT-GaAs layers are presented.","[('Materials science', 0, '0.6845896'), ('Epitaxy', 3, '0.66316974'), ('Hall effect', 3, '0.6318186'), ('Isotropic etching', 4, '0.621291'), ('Molecular beam epitaxy', 4, '0.5847962'), ('Electrical resistivity and conductivity', 2, '0.5279462'), ('Citric acid', 2, '0.52005666'), ('Etching (microfabrication)', 3, '0.5111907'), ('Optoelectronics', 1, '0.44666347'), ('Analytical Chemistry (journal)', 2, '0.42438406'), ('Mineralogy', 1, '0.33797216'), ('Chemistry', 0, '0.2544643'), ('Layer (electronics)', 2, '0.22574866'), ('Composite material', 1, '0.20303449'), ('Chromatography', 1, '0.093203574'), ('Electrical engineering', 1, '0.06080237'), ('Engineering', 0, '0.0'), ('Organic chemistry', 1, '0.0')]",S4210190818,"AlAs,AlGaAs,GaAs"
148666,W2058639253,https://doi.org/10.1002/pssa.200563507,Detailed analysis of the dielectric function for wurtzite InN and In-rich InAlN alloys,2006-01-01,"Detailed analysis of the dielectric function for wurtzite InN and In-rich InAlN alloys. A detailed analysis of the dielectric function DF for wurtzite InN as well as for In-rich InAIN alloys is presented. The experimental_data, covering the energy range from 0.72 up to 9.5 eV, were obtained by ellipsometric studies of an 1120 a-plane InN film and low carrier density 0001 c-plane films. Model calculations of the imaginary part of the DF around the band gap provide direct insight how to determine the energetic position of the Fermi energy from the experimental results. Then, taking into account both, band gap renormalization and Burstein-Moss shift, the values of the gaps at zero carrier density are calculated. The dependence of the InAIN band gap on the alloy composition is described by a bowing parameter of 4.0 eV. The a-plane film exhibits a characteristic optical anisotropy below 1 eV which is attributed to the polarization dependence of transition probabilities from the three valence bands at the point of the Brillouin zone into the conduction band. The splitting of 25 meV between the absorption edges for the two polarization directions can be well explained by a crystal field energy of 19 24 meV if a calculated spin-orbit energy of 13 5 meV is assumed. All results emphasize a band gap value of wurtzite InN of about 0.68 eV. By fitting the third derivatives of the dielectric function up to 9.5 eV we determine the compositional dependences of the transition energies for at least three critical points of the band structure.","[('Wurtzite crystal structure', 3, '0.9289011'), ('Materials science', 0, '0.6952752'), ('Optoelectronics', 1, '0.51246935'), ('Dielectric function', 3, '0.43604386'), ('Dielectric', 2, '0.36986327'), ('Metallurgy', 1, '0.14825696'), ('Zinc', 2, '0.043202758')]",S7159504,"InAlN,InN"
160762,W2996556742,https://doi.org/10.1155/2019/6509608,Experimental Study on Manufactured Sand-Soil Bearing Capacity W-T-BC Model Based on Mechanical Response of Rotary Penetration,2019-12-21,"Experimental Study on Manufactured Sand-Soil Bearing Capacity W-T-BCModel Based on Mechanical Response of Rotary Penetration. Studies are lacking in establishing the quantitative relationship between the mechanical response and the rock and soil mechanical parameters by digital rotary penetration. In this study, based on the custom-built rock and soil strength parameter test device and the three-dimensional flexible boundary loading device, we conducted an experimental study of the manufactured sand-soil model with moisture contents of 5%, 10%, and 15% under different confining pressures 0, 0.12, 0.18, 0.24, and 0.42 MPa. Analysis was conducted on the influencing factors and laws of water content on the experimental results, and a quantitative relationship model W-T-BC model between the drilling torque and the bearing capacity of manufactured sand-soil under the condition of different water contents was established. Through failure detection verification on the manufactured sand-soil-filled subgrade of the Taihang Mountains Expressway in Beijing, the average conformity between the calculated value of the bearing capacity of the W-T-BC model and the standard experimental bearing capacity was 93.23%, which proved the validity and accuracy of the model. Finally, the rigid-soft interface grid body of sand-soil particles was analyzed. The reason why the manufactured sand-soil exhibited better stability than homogeneous soil under the action of external force in microcosmic aspect was expounded. The establishment of the W-T-BC model provided a scientific basis and important reference for further study of the relationship between mechanical response and force parameters under different conditions of different materials.","[('Bearing capacity', 2, '0.75469524'), ('Geotechnical engineering', 1, '0.65790445'), ('Materials science', 0, '0.6575732'), ('Subgrade', 2, '0.5476195'), ('Water content', 2, '0.46918133'), ('Soil gradation', 3, '0.4351904'), ('Geology', 0, '0.18646222')]",S155241436,"BC,W"
175001,W2119681445,https://doi.org/10.1007/s00339-009-5198-y,Hydrogen storage characteristics of nanograined free-standing magnesium–nickel films,2009-08-01,"Hydrogen storage characteristics of nanograined free-standing magnesiumnickel films. Free-standing magnesiumnickel MgNi films with extensive nanoscale grain structures were fabricated using a combination of pulsed laser deposition and film delaminating processes. Hydrogen sorption and desorption properties of the films, free from the influence of substrates, were investigated. Oxidation of the material was reduced through the use of a sandwiched free-standing film structure in which the top and bottom layers consist of nanometer-thick Pd layers, which also acted as a catalyst to promote hydrogen uptake and release. Hydrogen storage characteristics were studied at three temperatures, 296, 232, and, where multiple sorption/desorption cycles were measured gravimetrically. An improvement in hydrogen storage capacity over the bulk MgNi target material was found for the free-standing films.shown from a Vant Hoff plot, the thermodynamic stability of the nanograined films is similar to that of Mg2Ni. These results suggest that free-standing films, of which better control of material compositions and microstructures can be realized than is possible for conventional ball-milled powders, represent a useful materials platform for solid-state hydrogen storage research.","[('Hydrogen storage', 3, '0.9168656'), ('Materials science', 0, '0.7034713'), ('Hydrogen', 2, '0.6731092'), ('Nickel', 2, '0.6222493'), ('Sorption', 3, '0.6197174'), ('Desorption', 3, '0.58954906'), ('Microstructure', 2, '0.54724884'), ('Magnesium', 2, '0.54423654'), ('Chemical engineering', 1, '0.5262705'), ('Grain size', 2, '0.4409911'), ('Nanoscopic scale', 2, '0.4336266'), ('Nanotechnology', 1, '0.31812426'), ('Metallurgy', 1, '0.30695212'), ('Chemistry', 0, '0.16749495'), ('Alloy', 2, '0.11008194'), ('Adsorption', 2, '0.071688324'), ('Organic chemistry', 1, '0.07005265'), ('Engineering', 0, '0.0')]",S52123058,"Mg2Ni,MgNi,Pd"
178225,W2965561074,https://doi.org/10.1007/s40843-019-9469-4,Dense and pure high-entropy metal diboride ceramics sintered from self-synthesized powders via boro/carbothermal reduction approach,2019-07-31,"Dense and pure high-entropy metal diboride ceramics sintered from self-synthesized powders via boro/carbothermal reduction approach. Equimolar quinary diboride powders, with nominal composition of Ti0.2Hf0.2Zr0.2Nb0.2Ta0.2B2, were synthesized by boro/carbothermal reduction BCTR of oxide mixtures MO x , M = Ti, Hf, Zr, Nb and Ta using B4C as source of B and C in vacuum. By adjusting the B4C/MO x ratios, diboride mixtures without detectable MO x were obtained at, while high-entropy diboride HEB powders with particle size of 1m was obtained at. The phase, morphology and solid solution evolution process of the HEB powders during the BCTR process were comprehensively investigated. Although X-ray diffraction pattern indicated the powders synthesized at were in a single-phase AlB2 structure, elemental mappings showed that Ta, Ti-rich and Zr, Nb-rich solid solution coexisted in the HEB powders. The distribution of niobium and zirconium atoms in HEB was unable to reach uniform until the HEB powders were spark plasma sintered at. Ti0.2Hf0.2Zr0.2Nb0.2Ta0.2B2 ceramics with a relative density of 97.9% were obtained after spark plasma sintering the HEB powders at under 50MPa. Rapid grain growth was found in this composition when the sintering temperature was increased from 2000 to, and the averaged grain size increased from 6.67 to 41.2m. HEB ceramics sintered at had a Vickers hardness of 22.44 0.56GPa under a load of 1kg, a Youngs modulus of ~500GPa and a fracture toughness of 2.83 0.15MPam1/2/. This is the first report for obtaining high density HEB ceramics without residual oxide phase, benefiting from the high quality HEB powders obtained.","[('Carbothermic reaction', 3, '0.8303042'), ('BORO', 3, '0.749075'), ('Materials science', 0, '0.68285215'), ('Ceramic', 2, '0.597136'), ('Metal', 2, '0.47655585'), ('Metallurgy', 1, '0.3651405'), ('Boron', 2, '0.24899954'), ('Nuclear physics', 1, '0.07234934'), ('Physics', 0, '0.062202454'), ('Carbide', 2, '0.0')]",S2764782236,"AlB2,B,B4C,Hf,Nb,Ta,Ti,Ti0.2Hf0.2Zr0.2Nb0.2Ta0.2B2,Zr"
11444,W1987052465,https://doi.org/10.1016/j.msea.2003.07.014,A study of internal friction in polypropylene (PP) filled with nanometer-scale CaCO3 particles,2004-04-15,"A study of internal friction in polypropylene PP filled with nanometer-scale CaCO3 particles. The internal friction and relative elastic modulus of polypropylene PP filled with nanometer-scale calcium carbonate nm-CaCO3 particles in different contents 0, 4, 7, and 15vol.% are measured in the temperature range with a torsion pendulum. The peak associated with the glass transition and a small peak peak associated with the pre-melting process in crystalline parts of PP was observed around 290 and, respectively. At temperatures lower than, no peaks were observed. With increasing content of nm-CaCO3 particles, the apparent activation energy of the peak decreases, and after passing a minimum of 4.7eV at 4vol.% of nm-CaCO3 , it increases. In contrary to this behavior, the peak temperature has a maximum of at the same filler fraction. Correspondingly, the highest tensile and flexural strength of PP were obtained around this content. These observations may be understood through the influences of fillers on the degree of crystallization of PP and on the mobility of molecules of PP.","[('Torsion pendulum clock', 2, '0.7655982'), ('Materials science', 0, '0.7643484'), ('Polypropylene', 2, '0.7110231'), ('Nanometre', 2, '0.67504805'), ('Composite material', 1, '0.64006853'), ('Calcium carbonate', 2, '0.5703124'), ('Ultimate tensile strength', 2, '0.54539824'), ('Crystallization', 2, '0.50301427'), ('Glass transition', 3, '0.49997663'), ('Elongation', 3, '0.44037032'), ('Flexural strength', 2, '0.42213237'), ('Polymer', 2, '0.18843916'), ('Chemistry', 0, '0.13895077'), ('Physics', 0, '0.0'), ('Organic chemistry', 1, '0.0'), ('Quantum mechanics', 1, '0.0')]",S154732359,"CaCO3,PP"
38306,W4293832828,https://doi.org/10.1016/j.msea.2022.143902,Triple the ductility of as-cast Al–Si alloys by phase-selective recrystallization,2022-10-01,"Triple the ductility of as-cast AlSi alloys by phase-selective recrystallization. Very recently, a method of phase-selective recrystallization has been proposed to significantly increase the ductility of eutectic alloys. Different from the conventional methods, such as adding modifiers and severe plastic deformation, phase-selective recrystallization is a simple way to control the microstructures with selective recrystallization of the soft phase but refining the hard phase. In this paper, we reveal the microstructure evolution in the phase-selective recrystallization treatment of AlSi alloys. The results show that through phase-selective recrystallization, the microstructure of the eutectic Si phase with high degree of spheroidization and fine grains of the -Al matrix can be obtained. Simultaneously, the refined hard Si particles and the soft -Al grains brought the unusual tensile elongation of 24%, triple of that in as-cast state. Meanwhile, the ultimate tensile strength increased from 208 MPa to 291 MPa. The performance of AlSi alloy with phase-selective recrystallization is superior to all previous treatments and can be used to produce high performance AlSi alloy sheet with large scale. High-performance A357 AlSi alloy was simply prepared by cyclic rolling and recrystallization. Cyclic rolling and recrystallization simultanously refined the eutectic Si and -Al matrix. The elongation and strength of A357 AlSi alloy were simultanously enhanced. Cyclic rolling and recrystallization showed great potentical in industrial application.","[('Recrystallization (geology)', 2, '0.82318074'), ('Materials science', 0, '0.68274003'), ('Metallurgy', 1, '0.47866473'), ('Phase (matter)', 2, '0.425246'), ('Ductility (Earth science)', 3, '0.41480765'), ('Geology', 0, '0.10792056'), ('Chemistry', 0, '0.07239273'), ('Petrology', 1, '0.034120858'), ('Creep', 2, '0.0'), ('Organic chemistry', 1, '0.0')]",S154732359,"Al,AlSi,Si"
