id,tags
W2050041941,"titanium dioxide,photocatalytic material,photocatalytic,anatase,rutile,polymorphs,photocatalytic performance,phase transformation,anatase to rutile phase transformation,thermodynamic of phase transformation,synthesis and property,dopant,cationic radius,valence,inhibitor,promoter,dopant element"
W2023728301,"liquid phase sintering,sintering,multi-phase component,multi-phase formation,powder,solid grain,wetting liquid,metal cutting insert,engine connecting rod,mixed powder heating,computer simulation,densification and microstructure evolution,densification,microstructure"
W2144804459,"lead-free piezoelectric material,lead zirconate titanate,lead,zirconate,titanate,piezoelectric property,piezoelectric,perovskite system,perovskite,bismuth sodium titanate,bismuth,sodium,alkali niobate,non-perovskite,bismuth layer-structured ferroelectric,ferroelectric,piezoelectric material,toxicity of lead,lead free material,structure-property correlation"
W3172350939,"toughening mechanism,elastomer-modified epoxy,brittle epoxy,elastomeric phase,tensile dilatometry,dilatometry,displacement rate,deformation mechanism,diglycidyl ether-bisphenol a,ether,bisphenol,carboxyl-terminated butadiene nitrile liquid rubber,carboxyl-terminated butadiene nitrile,carboxyl,butadiene nitrile liquid rubber,butadiene,nitrile,liquid rubber,strain rate,rubber particle,rubber,shear deformation,deformation,cavitation"
W2033304583,"microcapsule induced toughening,microcapsule,self-healing polymer composite,self-healing,polymer composite,polymer,grubbs ru catalyst,epoxy matrix,fracture toughness,tapered double-cantilever beam specimen,beam specimen,microcapsule,brittle neat epoxy,epoxy,mirror fracture surface,urea-formaldehyde microcapsules,urea-formaldehyde,hackle markings,silica microsphere,fluid-filled microcapsule,solid urea-formaldehyde polymer particles,urea-formaldehyde polymer,polymer particle,subsurface microcracking,virgin fracture toughness,embedded microcapsule"
W2069651853,"polyethylene filament,polyethylene,monofilament,filament,solution spinning,solution drawing,hot drawing,draw ratio,mechanical property,thermal property,tensile strength,tensility,young's modulus,dsc-melting point,melting point,scan speed,morphological study,x-ray study,x-ray,macromolecule orientation,fibre direction,polyethylene monofilament"
W1638951802,"toughening mechanism,elastomer-modified epoxy,elastomer,matrix ductility,ductility,diglycidyl ether of bisphenol a,ether,bisphenol,monomer molecular weight,monomer,epoxide resin,resin,diaminodiphenyl sulphone,carboxyl-terminated copolymer of butadiene and acrylonitrile,copolymer of butadiene and acrylonitrile,butadiene,acrylonitrile,fracture toughness,neat epoxy,tensile dilatometry,piperidine cured epoxy,piperidine cured,scanning electron microscopy,optical microscopy,microscopy"
W1998874719,"particle size distribution,particle size,toughening mechanism,rubber-modified epoxy,rubber,internal cavitation,cavitation,rubber particle,shear band,toughness enhancement,crack deflection,particle bridging,particle size dependence,fracture toughness,cavitation-induced shear banding,shear banding,bridging particle,neat epoxy,bimodal epoxy mixture,epoxy"
W1980885978,"magnesium matrix composite technology,magnesium matrix composite,matrix composite,conventional fabrication process,new fabrication process,fabrication process,composite microstructure,grain refinement,reinforcement distribution,interfacial characteristic,mechanical property"
W2032769396,"macroscopic yield behaviour of polymer,macroscopic yield behaviour,polymer yield behaviour,yield behavior,yield criterion,pressure-modified octahedral shear stress criterion,octahedral,shear stress criterion,von mises criterion,von mises,tensile yield strength,tensility,compressive yield strength,compression,hydrostatic component,applied stress state"
W2006113459,"glass-ceramic,production from waste,polycrystalline material,microstructure,controlled crystallisation,crystallisation,devitrification,silicate-based waste,silcate,coal combustion ash,coal combustion,ash,steel production slag,slag,fly ash,waste incinerator filter dust,dust,metal hydrometallurgy mud,mud,sludge,glass cullet,silcate waste,building material,construction component,architectural component,thermo-mechanical property,commercialization,industrial exploitation"
W2064375563,"ceramic matrix composite,ceramic,carbon nanotubes,physical property,mechanical property,reinforcement,structural composite reinforcement,structural composite,electrical property,thermal property,multifunctional application,inorganic matrix composite,toughening element,intrinsic brittleness,cnt polymer matrix composites,cnt polymer,polymer,polymer matrix composites,cnt-loaded ceramic matrix composite,brittle matrix,dispersion quality,density,composite property,toughness,toughening mechanism"
W2001428875,"liquid phase bonding,transient liquid phase bonding,partial transient liquid phase bonding,bonding,material joining,interlayer,melting,isothermal solidification,melting point,bonding temperature,ni-based superalloy,process kinetic,bonding time,interlayer thickness,interlayer format,optimal bonding temperature,multiple layer,multiple layer interlayer,ceramics,refractory core,lower-melting layer,bonding kinetic"
W2160292870,"toughness,epoxy polymer,fibre composite,rubber microparticle,silica nanoparticle,anhydride-cured epoxy polymer,carbon-fibre reinforced composite,carbon-fibre composite,glass-fibre reinforced composite,glass-fibre composite,hybrid epoxy polymer,carboxyl-terminated,carboxyl,butadiene-acrylonitrile,butadiene,acrylonitrile,toughening mechanism,fracture energy,bulk epoxy polymer,plastic shear-yield band,debonding,plastic void-growth,hybrid materials,interlaminar fracture energy,fibre-bridging toughening mechanism,thermoset polymer,nano-effect,micrometre-sized glass particle,glass particle"
W2091091868,"grain boundary energy anisotropy,grain boundary energy,energy anisotropy,anisotropy,herring equation,nucleating discontinuous transition,discontinuous transition,nucleating transtition,nucleation,grain boundary structure,complexion transition"
W3082721096,"carbon-based material,supercapacitor electrode,supercapacitor,energy consumption,energy storage,micro-size,lightweight,high power density,long cycle life,electrode material,dimensional carbon-based material,biomass-derived carbon material,biomass,carbon material,fabrication method,supercapacitor device,conventional supercapacitor,charge storage mechanism,hybrid ion capacitor,capacitor"
W2328561330,"preparation,characterization,alumina membranes,ultra-fine pore,pore,alumina films,boehmite sol,gelation,drying,calcination,pore size distribution,crack-free layer,microstructure,sintering temperature,acid concentration,precursor sol,minimum modal pore size,microstructure model"
W2030199225,"calcium orthophosphate-based biocomposite,calcium biocomposite,hybrid biomaterial,biomedical application,hard tissue regeneration,matrix material,filler,calcium orthophosphate,bone graft biomaterial"
W1997091043,"magnetorheological elastomer,natural rubber,mechanical property,electrical property,magnetic property,applied magnetic field,smart material,matrix type,external magnetic flux density,magnetic flux density,plasticizer,iron particle,shear modulus,field-induced increment,dynamic mechanical analyzer,viscoelastic property,strain amplitude,driving frequency"
W2886707552,"nonlinear dynamical analysis,breathing crack,plate structures,vibrations,open and closing movement,nonlinear dynamic response,contact nonlinearity,nonlinear vibration,structural intensity,dynamic excitation,surface structural intensity vector field,crack position,crack shape,structural intensity maps,damage identification,cracked structures"
W2100947909,"eco-friendly gypsum materials,eco-friendly composites,gypsum materials,civil construction,sustainable economic growth,alternative products,architecture,construction,green materials,composite materials,waste material,granulated cork,cork,cellulose fibers,composite boards,non-structural elements,dry walls,ceilings,cork bark,construction industry,reduced density,density,elasticity,compressibility,waterproof,vibration absorption,thermal insulation,acoustic insulation,gypsum binder,mineral additions,physical properties,mechanical properties,reinforced composites,industrial by-products,thermal properties,acoustic properties"
W2008608161,"strain tensors,stress tensors,rolled uranium plate,uranium plate,uranium,rietveld refinement,neutron-diffraction data,macroscopic average strain,macroscopic average stress,least-squares refinement,interplanar spacings,bragg reflections,pole figures,triclinic sample symmetry,tensile strain,tensile stress,transverse direction,rolling direction,normal direction,plate thickness,shear strain,shear stress component,compressive"
W2469729300,"tio2-based sorbent,lead ions,lead ions sorbent,non-magnetic powder,magnetically modified powder,magnetic powder,sorption experiments,magnetically responsive,scanning electron microscopy,x-ray diffraction,particle size,surface area,batch adsorption experiments,flame atomic absorption spectrometer,absorption spectrometer,langmuir isotherm,freundlich isotherm,linear regression,non-linear regression,magnetic iron oxide particles,adsorption rate,maximum adsorbed pb2+ ions,magnetic separation,sorbents,adsorbed ions,pollutants"
W2278398872,"high temperature flow stress model,flow stress model,flow stress,aermet 100,strain rate,hopkinson pressure bar compression tests,hopkinson pressure,martensitic steel,predictive flow stress model,austenite grain size,hall-petch relationship,heat treatment,microstructural evolution,friction,adiabatic heating,work hardening exponent,zener-hollomon equation,artificial neural network,prediction"
W2361236360,"microstructure,properties,forged medium-chrome alloy white cast iron,forged alloy,white cast iron,forging method,heat treatment,impact toughness,chromium alloy,carbon content,hot plasticity,forgeability,eutectic carbide,impact abrasive resistance"
W2361620319,"wear resistance,wear mechanism,hot-forging die steels,hot-forging,die steel,cast steel,h13 steel,h21 steel,pin-on-disk high-temperature wear tester,pin-on-disk,wear tester,unsolved carbide,carbide,elevated-temperature wear resistance,wear resistance"
W2012855758,"moth-eye structures,moth-eye,polydimethylsiloxane stamp,replication,functionalized microlense,microlense,ultraviolett-nanoimprint lithography,ultraviolett lithography,nanoimprint lithography,lithiography,camera modules,elastomer stamp,microlens array,antireflective layer,thermoforming process,optical performance,integration"
W2104621317,"compressive strength,micro-structural features,foamed concrete,concrete,wood ash,ash,silica fume,fume,cement replacement,cement,supplementary binder materials,concrete production industry,concrete production,microstructure,cement paste matrix,densification,setting time,blended cement paste"
W3000458735,"strength,bioactivity,hydroxyapatite,white portland cement,cured cement,portland cement,simulated body fluid,body fluid,compressive strength,bone-like apatite formation,apatite formation,curing periods,in vitro testing,in vitro environment,in vitro,hydration,surface formation"
W2810996823,"creep crack growth,316n stainless steel,stainless steel,steel weld,delta-ferrite,structural integrity,welded components,micromechanical characterization,compact tension specimen,compact tensionge,creep crack growth rate,sem/ebsd analysis,inter-granular nature,creep crack propagation,grain boundary-phase precipitations,grain boundary-phase,precipitations,damage accumulation,microcrack formation"
W2899454016,"free vibration modeling,reinforced thermoplastic pipe,thermoplastic pipe,offshore and inshore industry application,offshore application,inshore application,marine riser,cross-country pipeline,pipeline,elastic medium,slender flexible structure,dynamic modeling,vibration characteristic,transfer matrix method for multibody systems,multibody system,transfer matrix,transfer matrix method,euler-bernoulli linear theory,linear theory,recursive eigenvalue search algorithm,eigenvalue algorithm,system frequency"
W2793657156,"microstructure evolution,mechanical properties,trip steel,friction stir processing,transverse welding speed,microstructural analysis,scanning electron microscope,electron backscattered diffraction,diffraction,grain refinement,stir zone,deformation induced martensite,deformation,martensite,dynamic recrystallization,recrystallization,tensile deformation test,deformation test,yield strength,tensile elongation,elongation,trip phenomenon"
W3110931256,"electronic property,black phosphorus,monochromated low-loss electron energy loss spectroscopy,monochromated spectroscopy,electron energy loss spectroscopy,spectroscopy,scanning transmission electron microscope,transmission electron microscope,electron microscope,ab-initio calculation,bandgap,exciton energy,infrared region,electron beam,spectrometer,energy resolution,narrow bandgap energy,bandgap energy,intraband electronic transition,electronic transition,excitonic transition,narrow bandgap semiconductor,semiconductor"
W4225124608,"self-grinding exfoliation,self-grinding,exfoliation,small graphene nanosheets,graphene,nanosheets,microcrystalline graphite,graphite,microbead milling,microbead,milling,conductive additive,mass exfoliation,graphene yield,commercial application,mutual shear friction,shear friction,graphite particle,graphite nanocrystal,high-concentration paste,graphite graphene conversion,conversion,pristine graphite,electrical conductivity,li-ion battery,lithium battery,battery,capacity improvement,cyclic stability,carbon-based conductive particle,conductive particle"
W1993131996,"radiotracer diffusion,radiotracer,diffusion,grain boundary,interphase boundary,radiotracer serial sectioning technique,serial sectioning technique,serial sectioning,ni segregation,bulk planes,diffusion measurement"
W2284811328,"prediction,stress-strain behavior,stress-strain,ceramic matrix composites,ceramic,matrix composites,unit cell model,unit cell,fiber bundle,elastic modulus,finite element analysis,stress-strain curve,degradation,crack density"
W2135225752,"structural investigation,acoustic investigation,calcium borate glasses,calcium borate,ambient temperature,ultrasonic velocity,ultrasound,attenuation,pulse echo overlap method,pulse echo,elastic moduli,debye temperature,poisson ratio,acoustic,fourier transform infrared spectroscopic analysis,fourier transform,infrared spectroscopic analysis,spectroscopic analysis,glass network,interstitial space,non-bridging oxygen atom,oxygen atom"
W2508726230,"cylindrical thermally-conductive inclusion,cylindrical inclusion,thermally-conductive inclusion,heat flow,light building envelope,light building,envelope,mathematical model,temperature field distribution,climate chamber,temperature distribution"
W2510733232,"non-linear elastic response,elastic response,anharmonic properties,mgo single crystal,single crystal,earths mantle,seismology,mineralogical mode,earths interior,elastic constant,computational approach,first-order pressure derivatives,pressure derivatives,gruneisen constant,long-wavelength acoustic mode,long-wavelength,acoustic mode,ultrasound"
W2041922524,"simultaneous carbothermic reduction,carbothermic reduction,high-carbon ferromanganese slag,ferromanganese slag,slag,sessile drop wettability technique,sessile drop,wettability,graphite,coke,charcoal,carbon material substrate,reduction rate,reduction,chemical compositions,reduced slag,produced metal,carbon dissolution,carbon transfer,metal phase,thermodynamic calculation,reduction mechanism,metallothermic reduction,fast initial reduction stage,initial reduction stage,slow reduction stage,solid carbon,carbon"
W922275247,
W2010111326,
W2403546088,
W2767799535,
W2368366896,
W2077617097,
W1764627432,
W1990259019,
W2968633223,
W2087381541,
W2377848425,
W3193524832,
W2072284961,
W2065960663,
W1497595836,
W2217845916,
W2146401910,
W2024683261,
W2373566506,
W2014216223,
W2737887370,
W2949199832,
W2603583844,
W2066129955,
W2000986644,
W2041278108,
W3038664640,
W3026968676,
W2008877098,
W2745134291,
W3044994192,
W2315456739,
W3186271821,
W2040449849,
W2899437272,
W1976871376,
W2330064257,
W2015462902,
W2080328766,
W2002906089,
W2808831991,
W2015323242,
W2000917888,
W2548897766,
W1972226079,
W2039661589,
W207426220,
W2793275633,
W1752495894,
W2100961929,
W2017175406,
W2064625603,
W2508302308,
W2078720651,
W2089157330,
W2058262138,
W2015671969,
W2913119770,
W2012349680,
W2006240800,
W3031018044,
W2045741260,
W2333338403,
W1978651092,
W2097063279,
W2012611051,
W2529603541,
W2067434605,
W2057874092,
W2076616691,
W1989654987,
W1927468742,
W2380104257,
W3157950279,
W3082496568,
W2007951498,
W2109045785,
W2805199677,
